bauh 0.10.7-1
cachyos-kernel-manager 1.19.0-1
cachyos-keyring 20240331-1
cachyos-mirrorlist 27-1
cachyos-v3-mirrorlist 27-1
cachyos-v4-mirrorlist 27-1
caelestia-cli 1.1.2-1
caelestia-firefox-theme 1.0.0-1
caelestia-shell 2.2.0-1
chwd 1.24.1-1
darkly-bin 0.5.38-1
lib32-mesa-git 26.2.0_devel.226080.584a0997c8e-1
libcava 1.0.0-1
linux-cachyos-bore-lto 7.1.8-1
linux-cachyos-bore-lto-headers 7.1.8-1
papirus-folders 1.14.0-1
paru 2.1.0-3
paru-debug 2.1.0-2
python-materialyoucolor 3.0.2-1
qtengine 0.2.1-1
quickshell-git 0.3.0.r20.g28771c7-1
scx-manager 1.15.12-1
ttf-rubik-vf 2.3.0-3
yay 13.0.1-1
zapzap-bin 7.2-1
zen-browser-bin 1.21.13b-1
